month,year,Superior,Michigan-Huron,St. Clair,Erie,Ontario
mar,2009,600.69,577.72,574.34,571.88,245.8
apr,2009,600.79,578.08,574.61,572.24,246.46
may,2009,601.18,578.54,574.8,572.38,246.69
jun,2009,601.38,578.81,574.97,572.34,246.59
jul,2009,601.51,578.87,574.93,572.24,246.46
aug,2009,601.67,578.87,574.8,572.01,246.16
sep,2009,601.77,578.64,574.57,571.65,245.34
oct,2009,601.57,578.38,574.11,571.29,244.75
nov,2009,601.54,578.31,573.95,571.1,244.42
dec,2009,601.38,578.15,573.72,570.93,244.36
jan,2010,601.08,577.92,573.29,570.83,244.46
feb,2010,600.85,577.79,572.31,570.6,244.55
mar,2010,600.69,577.72,573.36,570.77,244.59
apr,2010,600.66,577.79,573.82,571.16,244.95
may,2010,600.66,577.85,574.08,571.56,245.11
jun,2010,600.82,578.05,574.41,571.88,245.57
jul,2010,601.02,578.28,574.44,571.75,245.96
aug,2010,601.05,578.22,574.31,571.49,245.73
sep,2010,601.12,577.95,573.88,570.93,245.14
oct,2010,601.02,577.66,573.65,570.77,244.78
nov,2010,600.85,577.3,573.23,570.47,244.42
dec,2010,600.62,576.97,573.16,570.41,244.49
jan,2011,600.39,576.8,572.44,570.31,244.39
feb,2011,600.16,576.71,572.51,570.05,244.13
mar,2011,599.97,576.8,573.06,570.96,244.78
apr,2011,600.1,577.13,573.79,571.52,245.57
may,2011,600.52,577.76,574.64,572.38,246.82
jun,2011,600.89,578.12,574.87,572.77,247.15
jul,2011,601.21,578.28,574.84,572.44,246.52
aug,2011,601.31,578.22,574.67,572.11,245.87
sep,2011,601.15,577.85,574.41,571.85,245.28
oct,2011,601.08,577.69,574.21,571.75,244.95
nov,2011,600.92,577.66,573.98,571.56,244.69
dec,2011,600.69,577.56,574.41,572.18,244.82
jan,2012,600.43,577.4,574.21,572.15,245.41
feb,2012,600.2,577.3,574.11,572.08,246.03
mar,2012,600.16,577.43,574.11,572.05,245.96
apr,2012,600.39,577.53,574.11,571.88,245.8
may,2012,600.59,577.59,574.08,571.75,245.77
jun,2012,601.05,577.66,574.08,571.59,245.73
jul,2012,601.38,577.56,573.95,571.33,245.37
aug,2012,601.28,577.33,573.65,571,244.91
sep,2012,601.05,576.97,573.33,570.7,244.42
oct,2012,600.79,576.57,572.83,570.28,243.9
nov,2012,600.72,576.38,572.8,570.37,243.73
dec,2012,600.56,576.15,572.64,570.28,243.7
jan,2013,600.33,576.02,572.57,570.28,244.03
feb,2013,600.2,576.15,572.64,570.41,244.49
mar,2013,600.07,576.21,572.97,570.6,244.65
apr,2013,600.13,576.61,573.33,570.93,245.14
may,2013,600.75,577.2,573.62,571.19,245.67
jun,2013,601.25,577.59,574.11,571.62,246.39
jul,2013,601.61,577.72,574.48,572.01,246.52
aug,2013,601.84,577.69,574.21,571.78,246.03
sep,2013,601.97,577.56,574.02,571.39,245.37
oct,2013,601.87,577.46,573.65,571.1,244.88
nov,2013,601.71,577.46,573.46,570.77,244.75
dec,2013,601.54,577.33,573.46,570.67,244.52
jan,2014,601.35,577.26,573.1,570.87,244.88
feb,2014,601.18,577.26,572.87,570.67,244.78
mar,2014,601.15,577.26,573.46,570.83,244.59
apr,2014,601.28,577.62,574.02,571.52,245.51
may,2014,601.94,578.31,574.57,572.01,246.52
jun,2014,602.36,578.67,574.84,572.18,246.62
jul,2014,602.56,578.94,575,572.18,246.36
aug,2014,602.59,579,575.03,572.08,245.93
sep,2014,602.69,579.1,575,571.88,245.34
oct,2014,602.72,579.2,574.74,571.69,244.72
nov,2014,602.59,579.2,574.48,571.36,244.29
dec,2014,602.36,579.17,574.57,571.42,244.29
jan,2015,602.17,579.1,573.98,571.39,244.62
feb,2015,601.94,579.07,573.29,570.96,244.42
mar,2015,601.77,579,573.95,570.83,244.13
apr,2015,601.84,579.17,574.7,571.59,244.82
may,2015,602.13,579.36,574.87,571.88,245.44
jun,2015,602.46,579.66,575.59,572.6,246.13
jul,2015,602.62,579.82,575.98,573.29,246.75
aug,2015,602.62,579.79,575.72,572.9,246.42
sep,2015,602.66,579.72,575.52,572.51,245.77
oct,2015,602.36,579.33,575,571.98,244.98
nov,2015,602.3,579.2,574.54,571.59,244.62
dec,2015,602.33,579.23,574.54,571.42,244.32
jan,2016,602.2,579.3,574.74,571.62,244.85
feb,2016,602,579.27,574.7,571.75,245.47
mar,2016,601.9,579.43,575.2,572.21,245.96
apr,2016,601.97,579.95,575.75,572.83,246.42
may,2016,602.03,580.12,575.79,573,246.36
jun,2016,602.4,580.18,575.82,572.87,246.13
jul,2016,602.66,580.18,575.75,572.64,245.9
aug,2016,602.69,580.12,575.66,572.38,245.54
sep,2016,602.69,579.99,575.49,572.15,245.08
oct,2016,602.62,579.69,575.2,571.95,244.55
nov,2016,602.33,579.36,574.77,571.72,244.36
dec,2016,602.17,579.1,574.54,571.42,244.29
