Year ,School ,Speaker ,Event Type ,Controversy Topic ,Disinvitation? ,From Right or Left of Speaker ,Details
2012,"University of California, Irvine ",Osama Shabaik ,Campus Speech/Debate ,"Views on Israeli-Palestinian Conflict, Criminal/Other Misconduct ",Yes ,From the Right ,view 
2012,Fordham University ,Ann Coulter ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Left ,view 
2012,Cornish College of the Arts ,Mike Daisey ,Commencement ,Criminal/Other Misconduct ,Yes ,N/A ,view 
2012,University of North Carolina at Chapel Hill ,Michael Bloomberg ,Commencement ,"Racial Issues, Civil Liberties ",No ,From the Left ,view 
2012,Michigan State University ,Rick Snyder ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Left ,view 
2012,University of Alabama ,Louis Farrakhan ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues ",No ,From the Left ,view 
2012,Mercy College School of Nursing ,Robert Hagan ,Commencement ,"Views on Abortion/Contraception, Views on Sexual Orientation ",Yes ,From the Right ,view 
2012,Fordham University ,John Brennan ,Commencement ,"Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2012,Earlham College ,Jonah Lehrer ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,N/A ,view 
2012,Emory University ,Ben Carson ,Commencement ,Evolution/Scientific Views ,No ,From the Left ,view 
2012,The George Washington University ,Carlos Slim ,Commencement ,Other ,No ,From the Left ,view 
2012,University of San Diego ,Tina Beattie ,Teaching ,"Views on Abortion/Contraception, Views on Sexual Orientation ",Yes ,From the Right ,view 
2012,Georgetown University ,Kathleen Sebelius ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2011,Messiah College ,Frances Piven ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Right ,view 
2011,Albright College ,Tom Corbett ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Left ,view 
2011,Dartmouth College ,George H.W. Bush ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2011,Fontbonne University ,Greg Mortenson ,Commencement ,Criminal/Other Misconduct ,Yes ,N/A ,view 
2011,University of Michigan ,Rick Snyder ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Left ,view 
2011,Villanova University ,Anna Quindlen ,Commencement ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2011,University of Pennsylvania ,Eric Cantor ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Left ,view 
2011,Johns Hopkins University ,Karl Rove ,Campus Speech/Debate ,"Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2011,Rutgers University ,Nicole Polizzi ,Campus Speech/Debate ,Other ,No ,N/A ,view 
2011,Washington University in St. Louis ,Marvin Casey ,Other ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2011,Catholic University of America ,John Boehner ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2011,Washington University in St. Louis ,Bristol Palin ,Campus Speech/Debate ,Views on Abortion/Contraception ,Yes ,From the Left ,view 
2011,Messiah College ,James Mattera ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Left ,view 
2011,Worcester Polytechnic Institute ,Rex Tillerson ,Commencement ,Other ,No ,From the Left ,view 
2011,Everett Community College ,Raymond Ibrahim ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
2011,City University of New York ,Tony Kushner ,Commencement ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2011,University of Wisconsin ,Robert Clegg ,Other ,Racial Issues ,Yes ,From the Left ,view 
2011,Anna Maria College ,Victoria Reggie Kennedy ,Commencement ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2011,St. Francis University ,Ellen Goodman ,Campus Speech/Debate ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2011,Point Loma Nazarene University ,Vincente Fox ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2011,"University of California, Santa Barbara ",David Horowitz ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
2011,San Diego City College ,Bonnie Dumanis ,Campus Speech/Debate ,Local Politics ,Yes ,From the Left ,view 
2010,Ohio Wesleyan University ,John McCain ,Commencement ,Views on Immigration ,No ,From the Left ,view 
2010,Saint Louis University ,Pietro Sambi ,Commencement ,Views on Sexual Orientation ,No ,From the Left ,view 
2010,"Indiana University, Bloomington ",Tom Woods ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2010,Butler University ,John Roberts ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2010,University of Minnesota ,  ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2010,Seton Hall University School of Law ,Chris Christie ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Left ,view 
2010,Brandeis University ,Michael Oren ,Commencement ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2010,"California State University, Stanislaus ",Sarah Palin ,Campus Speech/Debate ,"Other Political Views or Positions, Other ",No ,From the Left ,view 
2010,Temple University ,Geert Wilders ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2010,The George Washington University ,Michelle Obama ,Commencement ,Other ,No ,From the Right ,view 
2010,University of Wyoming ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,From the Right ,view 
2010,University of Arizona ,Sandra Soto ,Commencement ,Views on Immigration ,No ,From the Right ,view 
2010,Syracuse University ,Jamie Dimon ,Commencement ,Other ,No ,From the Left ,view 
2010,SUNY Oswego ,John McHugh ,Commencement ,Views on Sexual Orientation ,Yes ,From the Left ,view 
2010,"University of California, Irvine ",Michael Oren ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2010,Columbia University School of International and Public Affairs ,Vikram Pandit ,Commencement ,Other ,No ,From the Left ,view 
2009,Georgia Southern University ,William Ayers ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",Yes ,From the Right ,view 
2009,Princeton University ,Nonie Darwish ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2009,Brandeis University ,William Ayers ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",No ,From the Right ,view 
2009,DePaul University ,Natan Sharansky ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2009,Xavier University of Louisiana ,Donna Brazile ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2009,University of California - Los Angeles Anderson School of Management ,Meg Whitman ,Commencement ,Views on Sexual Orientation ,Yes ,From the Left ,view 
2009,University of North Carolina School of Law ,Michael Mukasey ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2009,California Polytechnic State University ,Michael Pollan ,Campus Speech/Debate ,Other Political Views or Positions ,No ,N/A ,view 
2009,Saint Louis University ,Jacob Shrybman ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2009,University of Vermont ,Ben Stein ,Commencement ,Evolution/Scientific Views ,Yes ,From the Left ,view 
2009,University of Notre Dame ,Barack Obama ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2009,DePaul University ,Jacob Shrybman ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2009,University of North Carolina at Chapel Hill ,Tom Tancredo ,Campus Speech/Debate ,"Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2009,Boston College ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,From the Right ,view 
2009,Arizona State University ,Barack Obama ,Commencement ,"Other Political Views or Positions, Other ",No ,From the Right ,view 
2009,University of Massachusetts ,Raymond Luc Levasseur ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,N/A ,view 
2009,University of Chicago ,Ehud Olmert ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2009,University of California - Los Angeles ,James Franco ,Commencement ,Other ,Yes ,N/A ,view 
2009,University of Massachusetts Amherst ,Don Feder ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Left ,view 
2009,Millersville University ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,No ,From the Right ,view 
2009,University of Oklahoma ,Richard Dawkins ,Campus Speech/Debate ,Evolution/Scientific Views ,No ,From the Right ,view 
2009,McHenry County College ,Marc Falkoff ,Campus Speech/Debate ,"Other Political Views or Positions, Civil Liberties, Other ",Yes ,From the Right ,view 
2009,Harvard University ,Jim Gilchrist ,Campus Speech/Debate ,Views on Immigration ,Yes ,From the Left ,view 
2009,Clark University ,Norman Finkelstein ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2009,Saint Mary's College ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,No ,From the Right ,view 
2009,King's College ,Bob Casey ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2009,University of North Carolina at Chapel Hill ,Virgil Goode ,Campus Speech/Debate ,"Racial Issues, Views on Immigration ",No ,From the Left ,view 
2009,University of Kentucky ,Ehud Olmert ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2008,Smith College ,Ryan Sorba ,Campus Speech/Debate ,"Views on Sexual Orientation, Other Political Views or Positions ",Yes ,From the Left ,view 
2008,Boston College ,Michael Mukasey ,Commencement ,"Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2008,Furman University ,George W. Bush ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2008,Northwestern University ,Jeremiah Wright ,Commencement ,"Racial Issues, Other Political Views or Positions ",Yes ,From the Right ,view 
2008,"California State University, Northridge ",Norman Finkelstein ,Campus Speech/Debate ,"Racial Issues, Views on Israeli-Palestinian Conflict, Other Political Views or Positions ",No ,From the Right ,view 
